Time,Mach,Alpha_D,Altitude,Latitude,Longitude
314.05,1.532104592,1.523963157,50406.36124,33.22939506,-98.47765207
315.05,1.532052695,1.524737734,50407.03226,33.23028092,-98.48237805
316.05,1.532001248,1.525428083,50407.64733,33.23116706,-98.48710384
317.05,1.531950647,1.526072441,50408.21213,33.23205347,-98.49182945
318.05,1.531901419,1.526437487,50408.73067,33.23294015,-98.49655487
319.05,1.531853754,1.527076756,50409.20624,33.23382711,-98.50128011
320.05,1.531807843,1.527545556,50409.64261,33.23471436,-98.50600517
321.283,1.531763719,1.528186421,50410.04403,33.23560191,-98.51073005
322.05,1.531721442,1.527148107,50410.41702,33.23648977,-98.51545477
323.05,1.531681659,1.527840984,50410.76016,33.23737789,-98.52017933
324.05,1.531643518,1.528971257,50411.06867,33.23826628,-98.52490374
325.05,1.531607024,1.52969948,50411.35059,33.23915495,-98.52962801
326.05,1.531572729,1.530193016,50411.61235,33.24004389,-98.53435214
327.05,1.531540859,1.529891494,50411.85542,33.24093312,-98.53907614
328.05,1.53151108,1.52998083,50412.08056,33.24182262,-98.54380001
329.05,1.531483104,1.53017918,50412.2873,33.24271238,-98.54852377
330.117,1.531456921,1.53042928,50412.47682,33.2436024,-98.55324742
331.05,1.531432722,1.530596668,50412.65104,33.24449267,-98.55797098
332.05,1.531410547,1.530804613,50412.81132,33.24538318,-98.56269444
333.05,1.531390284,1.53097677,50412.95876,33.24627394,-98.56741783
334.05,1.531371838,1.531111693,50413.09458,33.24716495,-98.57214113
335.05,1.531355106,1.531191708,50413.21986,33.24805621,-98.57686435
336.05,1.531339828,1.531297736,50413.33527,33.2489477,-98.58158751
337.05,1.531325895,1.531423517,50413.44127,33.24983942,-98.58631062
338.05,1.531313246,1.531534109,50413.53871,33.25073135,-98.59103367
339.05,1.531301994,1.531624032,50413.62841,33.25162349,-98.59575668
340.05,1.531292131,1.531718083,50413.71113,33.25251585,-98.60047965
341.05,1.531283529,1.531744798,50413.78731,33.25340842,-98.60520258
342.05,1.531275983,1.531825312,50413.85732,33.25430122,-98.60992547
343.05,1.531269324,1.531898353,50413.92164,33.25519421,-98.61464833
344.05,1.53126344,1.532007012,50413.9809,33.2560874,-98.61937118
345.05,1.531258481,1.531985522,50414.03537,33.25698077,-98.624094
346.05,1.531254305,1.532040006,50414.08551,33.25787433,-98.62881681
347.05,1.531250915,1.532090314,50414.13158,33.25876808,-98.63353961
348.05,1.531248257,1.532132929,50414.17395,33.25966202,-98.63826239
349.05,1.53124613,1.532168202,50414.21295,33.26055615,-98.64298517
350.05,1.531244321,1.532194448,50414.24884,33.26145046,-98.64770794
351.05,1.531242966,1.532223849,50414.28183,33.26234494,-98.65243071
352.05,1.531241958,1.532250565,50414.31215,33.26323958,-98.65715348
353.05,1.531241315,1.532274607,50414.34002,33.26413438,-98.66187625
354.05,1.531241182,1.532288637,50414.36568,33.26502935,-98.66659903
355.05,1.531241418,1.532312168,50414.38928,33.2659245,-98.67132181
356.05,1.531241807,1.53233684,50414.41091,33.26681983,-98.67604459
357.05,1.531242212,1.532356534,50414.43079,33.26771532,-98.68076738
358.05,1.531242775,1.532368501,50414.44908,33.26861096,-98.68549018
359.05,1.531243506,1.532376268,50414.46591,33.26950676,-98.69021298
360.05,1.531244303,1.532390511,50414.48136,33.27040271,-98.6949358
361.05,1.531245346,1.532404233,50414.49554,33.27129882,-98.69965863
362.05,1.53124655,1.532416449,50414.50858,33.2721951,-98.70438147
363.05,1.531247742,1.532434189,50414.52059,33.27309155,-98.70910431
364.05,1.531248786,1.532430413,50414.53161,33.27398817,-98.71382716
365.05,1.531249921,1.532439574,50414.54172,33.27488493,-98.71855002
366.05,1.531250989,1.532447787,50414.55101,33.27578185,-98.7232729
367.05,1.531251985,1.532461295,50414.55955,33.27667891,-98.72799579
368.05,1.531253127,1.532456203,50414.56741,33.27757615,-98.73271869
369.283,1.531254358,1.532463503,50414.57464,33.27847355,-98.73744159
370.05,1.531255525,1.532450097,50414.58134,33.27937112,-98.74216451
371.05,1.531256521,1.53246092,50414.5875,33.28026886,-98.74688743
372.05,1.531257407,1.532478084,50414.59303,33.28116675,-98.75161036
373.05,1.531258261,1.532487279,50414.59809,33.28206481,-98.7563333
374.05,1.531259149,1.532487492,50414.60277,33.28296302,-98.76105625
375.05,1.531260064,1.532487524,50414.60711,33.28386141,-98.7657792
376.05,1.531260994,1.532490677,50414.61111,33.28475997,-98.77050216
377.05,1.531261875,1.532492774,50414.6148,33.28565872,-98.77522513
378.05,1.531262521,1.532495236,50414.61818,33.28655764,-98.77994809
379.05,1.531263157,1.532499325,50414.62127,33.28745673,-98.78467107
380.05,1.531263619,1.532500456,50414.62412,33.28835599,-98.78939405
381.05,1.53126389,1.532500577,50414.62675,33.28925541,-98.79411704
382.05,1.531264341,1.532501972,50414.62919,33.290155,-98.79884003
383.05,1.531264884,1.532503284,50414.63144,33.29105479,-98.80356302
384.05,1.531265447,1.532506188,50414.6335,33.29195477,-98.80828601
385.05,1.531265756,1.532509268,50414.63538,33.29285493,-98.81300901
386.05,1.531266028,1.532508526,50414.6371,33.29375526,-98.817732
387.05,1.531266226,1.532508792,50414.63868,33.29465577,-98.822455
388.05,1.531266358,1.532509844,50414.64014,33.29555646,-98.82717801
389.05,1.531266646,1.532511006,50414.64149,33.29645734,-98.83190101
390.05,1.531267039,1.532512801,50414.64274,33.29735842,-98.836624
391.05,1.531267395,1.532513305,50414.64388,33.2982597,-98.841347
392.05,1.531267536,1.532515805,50414.64493,33.29916117,-98.84606999
393.05,1.531267619,1.532515579,50414.64588,33.30006283,-98.85079299
394.05,1.531267603,1.532515102,50414.64676,33.30096467,-98.85551598
395.05,1.531267606,1.532514556,50414.64758,33.3018667,-98.86023897
396.05,1.531267758,1.532515033,50414.64835,33.30276892,-98.86496197
397.05,1.531267985,1.53251698,50414.64906,33.30367135,-98.86968495
